名称：Grow Up 	 发行日期：2016年8月16日 	 评级：特别好评 	 评价详情：802 篇用户的游戏评测中有 88% 为好评。 
名称：Might and Magic: Heroes VII – Trial by Fire 	 发行日期：2016年8月4日 	 评级：褒贬不一 	 评价详情：197 篇用户的游戏评测中有 49% 为好评。 
名称：Trials of the Blood Dragon 	 发行日期：2016年6月13日 	 评级：褒贬不一 	 评价详情：103 篇用户的游戏评测中有 65% 为好评。 
名称：Trackmania Turbo Demo 	 发行日期：2016年6月6日 	 评级：None 	 评价详情：None 
名称：Trackmania® Turbo 	 发行日期：2016年3月24日 	 评级：褒贬不一 	 评价详情：1,010 篇用户的游戏评测中有 61% 为好评。 
名称：Tom Clancy’s The Division™ 	 发行日期：2016年3月7日 	 评级：褒贬不一 	 评价详情：46,712 篇用户的游戏评测中有 66% 为好评。 
名称：Brawlhalla - Valhalla Pack 	 发行日期：2016年3月2日 	 评级：特别好评 	 评价详情：231 篇用户的游戏评测中有 95% 为好评。 
名称：Far Cry® Primal 	 发行日期：2016年3月1日 	 评级：多半好评 	 评价详情：8,286 篇用户的游戏评测中有 75% 为好评。 
名称：Tom Clancy's Rainbow Six® Siege - Platinum Weapon Skin 	 发行日期：2016年2月23日 	 评级：特别好评 	 评价详情：256 篇用户的游戏评测中有 83% 为好评。 
名称：Tom Clancy's Rainbow Six® Siege 	 发行日期：2015年12月1日 	 评级：特别好评 	 评价详情：149,173 篇用户的游戏评测中有 82% 为好评。 
名称：Might & Magic Heroes Online 	 发行日期：2015年11月24日 	 评级：多半差评 	 评价详情：661 篇用户的游戏评测中有 39% 为好评。 
名称：Assassin's Creed® Syndicate 	 发行日期：2015年11月18日 	 评级：多半好评 	 评价详情：6,965 篇用户的游戏评测中有 74% 为好评。 
名称：Brawlhalla - All Legends (Current and Future) 	 发行日期：2015年8月26日 	 评级：特别好评 	 评价详情：66 篇用户的游戏评测中有 93% 为好评。 
名称：Anno 2205™ 	 发行日期：2015年11月2日 	 评级：褒贬不一 	 评价详情：2,685 篇用户的游戏评测中有 61% 为好评。 
名称：Might & Magic® Heroes® VII 	 发行日期：2015年9月29日 	 评级：褒贬不一 	 评价详情：2,549 篇用户的游戏评测中有 44% 为好评。 
名称：Brawlhalla - Collectors Pack 	 发行日期：2014年4月30日 	 评级：特别好评 	 评价详情：100 篇用户的游戏评测中有 93% 为好评。 
名称：The Settlers Online 	 发行日期：2015年8月19日 	 评级：多半差评 	 评价详情：834 篇用户的游戏评测中有 36% 为好评。 
名称：ZOMBI 	 发行日期：2015年8月18日 	 评级：褒贬不一 	 评价详情：1,319 篇用户的游戏评测中有 63% 为好评。 
名称：Trials Fusion - Awesome Level Max 	 发行日期：2015年7月15日 	 评级：多半好评 	 评价详情：18 篇用户的游戏评测中有 72% 为好评。 
名称：Trials Fusion - After the Incident 	 发行日期：2015年3月31日 	 评级：None 	 评价详情：None 
名称：Assassin’s Creed® Rogue 	 发行日期：2015年3月10日 	 评级：特别好评 	 评价详情：3,835 篇用户的游戏评测中有 81% 为好评。 
名称：Assassin’s Creed® Rogue - Templar Legacy Pack 	 发行日期：2015年3月9日 	 评级：褒贬不一 	 评价详情：33 篇用户的游戏评测中有 63% 为好评。 
名称：Assassin’s Creed® Rogue - Time Saver: Activities Pack 	 发行日期：2015年3月9日 	 评级：None 	 评价详情：None 
名称：Assassin’s Creed® Rogue - Time Saver: Collectibles Pack 	 发行日期：2015年3月9日 	 评级：None 	 评价详情：None 
名称：Assassin’s Creed® Rogue - Time Saver: Resource Pack 	 发行日期：2015年3月9日 	 评级：褒贬不一 	 评价详情：12 篇用户的游戏评测中有 58% 为好评。 
