"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Players","Playtime (Median)"
"68","Tropical Liquor","Mar 9, 2018","$9.99","51% (82%)","14,282 ±3,767","5,453 ±2,327","01:42 (01:30)"
"69","Traum","Mar 19, 2018","Free","86% (93%)","6,492 ±2,539","3,116 ±1,759","01:05 (01:24)"
"70","Mount Your Friends 3D: A Hard Man is Good to Climb","Feb 23, 2018","$6.99","57% (84%)","15,840 ±3,967","2,856 ±1,684","01:21 (01:22)"
"71","Golfing Over It with Alva Majo","Mar 28, 2018","$3.99","29% (70%)","8,829 ±2,961","7,790 ±2,782","01:01 (00:32)"
"72","Orwell: Ignorance is Strength","Feb 22, 2018","$9.99","51% (82%)","23,890 ±4,872","7,790 ±2,782","02:04 (01:56)"
"73","SENRAN KAGURA Peach Beach Splash","Mar 7, 2018","$39.99","23% (66%)","29,343 ±5,399","11,166 ±3,330","04:40 (01:19)"
"74","KOEWOTAYORINI /","Mar 26, 2018","Free","74% (90%)","8,829 ±2,961","5,453 ±2,327","00:43 (00:16)"
"75","Gleaner Heights","Feb 21, 2018","$9.99","37% (75%/65%)","5,972 ±2,436","2,077 ±1,436","07:26 (03:36)"
"76","Fable Fortune","Feb 21, 2018","Free","35% (74%/62%)","56,867 ±7,516","7,271 ±2,687","01:17 (00:56)"
"77","Usotsuki Game /","Mar 15, 2018","$1.99","39% (76%)","7,530 ±2,735","5,453 ±2,327","04:23 (03:45)"
"78","Insidia","Feb 27, 2018","Free","32% (72%/74%)","64,917 ±8,031","3,116 ±1,759","00:49 (01:19)"
"79","Welcome to Light Fields","Mar 14, 2018","Free","89% (94%)","18,436 ±4,280","7,530 ±2,735","02:37 (00:18)"
"80","blue.","Mar 21, 2018","Free","N/A (N/A)","8,829 ±2,961","6,232 ±2,488","00:17 (00:06)"
"81","BREATHE","Mar 8, 2018","Free","8% (49%)","54,790 ±7,378","19,215 ±4,369","00:12 (00:09)"
"82","Hunt Showdown","Feb 22, 2018","$29.99","27% (69%)","208,774 ±14,400","75,564 ±8,664","06:14 (01:53)"
"83","Bombix","Mar 2, 2018","Free","32% (72%)","31,939 ±5,633","16,099 ±3,999","02:50 (00:46)"
"84","Breach of Contract Reloaded","Mar 14, 2018","Free","5% (41%)","30,901 ±5,541","14,022 ±3,732","00:11 (00:07)"
"85","Sol705","Mar 16, 2018","Free","N/A (N/A)","7,530 ±2,735","3,376 ±1,831","00:32 (00:23)"
"86","Harvest Seasons","Feb 23, 2018","Free","39% (76%)","47,779 ±6,890","10,906 ±3,291","05:36 (00:44)"
"87","Clawface","Mar 13, 2018","Free","N/A (N/A)","14,022 ±3,732","8,829 ±2,961","00:20 (00:06)"
"88","Millidor","Mar 16, 2018","Free","21% (64%)","6,492 ±2,539","3,895 ±1,967","00:48 (00:52)"
"89","J.A.W.S","Mar 8, 2018","Free","13% (57%)","31,160 ±5,564","7,271 ±2,687","00:35 (00:07)"
"90","Shrouded in Sanity: Freebirth","Mar 23, 2018","Free","N/A (N/A)","6,232 ±2,488","3,635 ±1,900","01:29 (00:22)"
"91","Fallen ~Makina and the City of Ruins~","Feb 23, 2018","$14.99","59% (85%)","15,580 ±3,934","2,856 ±1,684","00:39 (01:02)"
"92","Bio Inc. Redemption","Mar 8, 2018","$12.99","71% (89%)","40,249 ±6,323","5,713 ±2,382","01:23 (01:23)"
"93","Hatsune Miku VR / VR","Mar 8, 2018","$24.99","47% (80%)","5,713 ±2,382","2,856 ±1,684","01:12 (01:04)"
"94","Alien Crusader","Mar 9, 2018","Free","N/A (N/A)","8,050 ±2,828","2,337 ±1,523","01:06 (03:01)"
"95","AirMech Strike","Mar 30, 2018","Free","59% (85%)","1,576,448 ±39,517","19,475 ±4,399","01:16 (00:34)"
"96","Fog Of War - Free Edition","Feb 22, 2018","Free","5% (43%)","258,630 ±16,027","51,414 ±7,147","00:33 (00:12)"
"97","Crypt- (Open Alpha)","Mar 9, 2018","Free","41% (77%)","8,829 ±2,961","2,597 ±1,606","00:18 (00:19)"
"98","Atelier Lydie & Suelle ~The Alchemists and the Mysterious Paintings~","Mar 27, 2018","$53.99","82% (92%)","3,116 ±1,759","2,337 ±1,523","09:58 (11:29)"
"99","Starman's VR Experience","Mar 20, 2018","Free","N/A (N/A)","4,674 ±2,155","2,856 ±1,684","00:03 (00:03)"
"100","CrocoMars","Mar 5, 2018","Free","N/A (N/A)","8,569 ±2,918","2,597 ±1,606","00:16 (00:22)"
